price_time_stamp,currency,loc_name,city,review_count,state,zip_code_searched,latitude,product_name,payment_type,DATE_SCRAPED,phone,price_current,country,longitude,address_1,address_2,overall_rating
##########,USD,World,Los Angeles,51,CA,90001,33.9749313,Regular,Credit,2022-04-18T05:01:29+8:00,323-582-6158,5.49,USA,-118.23792,1935 E Florence Ave,Wilson Ave,3.8
##########,USD,7-Eleven,Los Angeles,27,CA,90001,33.989139,Regular,Credit,2022-04-18T05:01:29+8:00,,5.79,USA,-118.25187,1302 E Slauson Ave,Hooper Ave,3.9
##########,USD,7-Eleven,Los Angeles,27,CA,90001,33.989139,Regular,Cash,2022-04-18T05:01:29+8:00,,5.69,USA,-118.25187,1302 E Slauson Ave,Hooper Ave,3.9
##########,USD,76,Los Angeles,42,CA,90001,33.9749755,Regular,Credit,2022-04-18T05:01:29+8:00,323-587-1979,5.69,USA,-118.25604,1101 E Florence Ave,S Central Ave,3.4
##########,USD,Chevron,Los Angeles,48,CA,90001,33.9677895,Regular,Credit,2022-04-18T05:01:29+8:00,323-581-7126,5.9,USA,-118.23348,7831 S Alameda St,Nadeau St,3.8
##########,USD,Chevron,Los Angeles,48,CA,90001,33.9677895,Regular,Cash,2022-04-18T05:01:29+8:00,323-581-7126,5.75,USA,-118.23348,7831 S Alameda St,Nadeau St,3.8
##########,USD,Sinclair,Los Angeles,10,CA,90001,33.967219,Regular,Credit,2022-04-18T05:01:29+8:00,323-996-5510,5.69,USA,-118.23351,2164 Nadeau St,Alameda St,4.8
##########,USD,Sinclair,Los Angeles,10,CA,90001,33.967219,Regular,Cash,2022-04-18T05:01:29+8:00,323-996-5510,5.69,USA,-118.23351,2164 Nadeau St,Alameda St,4.8
##########,USD,Shell,Los Angeles,32,CA,90001,33.9599203,Regular,Credit,2022-04-18T05:01:30+8:00,323-582-9700,6.09,USA,-118.24768,1454 E Firestone Blvd,Compton Ave,4.7
##########,USD,Shell,Los Angeles,32,CA,90001,33.9599203,Regular,Cash,2022-04-18T05:01:30+8:00,323-582-9700,5.99,USA,-118.24768,1454 E Firestone Blvd,Compton Ave,4.7
##########,USD,Mobil,Los Angeles,9,CA,90001,33.9598969,Regular,Credit,2022-04-18T05:01:30+8:00,323-589-8033,6.29,USA,-118.24681,1502 Firestone Blvd,Compton Ave,4.3
